pdbID	chainID	DESCRIPTION	VIRUS
7dwx	H	 Spike glycoprotein	SARS-CoV-2
7dwx	G	 Spike glycoprotein	SARS-CoV-2
7dwx	F	 Spike glycoprotein	SARS-CoV-2
7dwx	E	 Spike glycoprotein	SARS-CoV-2
7d0d	B	 Spike glycoprotein	SARS-CoV-2
7d0d	C	 Spike glycoprotein	SARS-CoV-2
7d0d	A	 Spike glycoprotein	SARS-CoV-2
7d0c	C	 Spike glycoprotein	SARS-CoV-2
7d0c	B	 Spike glycoprotein	SARS-CoV-2
7d0c	A	 Spike glycoprotein	SARS-CoV-2
7d0b	C	 Spike glycoprotein	SARS-CoV-2
7d0b	B	 Spike glycoprotein	SARS-CoV-2
7d0b	A	 Spike glycoprotein	SARS-CoV-2
7d03	C	 Spike glycoprotein	SARS-CoV-2
7d03	B	 Spike glycoprotein	SARS-CoV-2
7d03	A	 Spike glycoprotein	SARS-CoV-2
7d00	C	 Spike glycoprotein	SARS-CoV-2
7d00	B	 Spike glycoprotein	SARS-CoV-2
7d00	A	 Spike glycoprotein	SARS-CoV-2
7czz	C	 Spike glycoprotein	SARS-CoV-2
7czz	B	 Spike glycoprotein	SARS-CoV-2
7czz	A	 Spike glycoprotein	SARS-CoV-2
7czy	C	 Spike glycoprotein	SARS-CoV-2
7czy	B	 Spike glycoprotein	SARS-CoV-2
7czy	A	 Spike glycoprotein	SARS-CoV-2
7czx	C	 Spike glycoprotein	SARS-CoV-2
7czx	B	 Spike glycoprotein	SARS-CoV-2
7czx	A	 Spike glycoprotein	SARS-CoV-2
7czw	C	 Spike glycoprotein	SARS-CoV-2
7czw	B	 Spike glycoprotein	SARS-CoV-2
7czw	A	 Spike glycoprotein	SARS-CoV-2
7czv	C	 Spike glycoprotein	SARS-CoV-2
7czv	B	 Spike glycoprotein	SARS-CoV-2
7czv	A	 Spike glycoprotein	SARS-CoV-2
7czu	C	 Spike glycoprotein	SARS-CoV-2
7czu	B	 Spike glycoprotein	SARS-CoV-2
7czu	A	 Spike glycoprotein	SARS-CoV-2
7czt	C	 Spike glycoprotein	SARS-CoV-2
7czt	B	 Spike glycoprotein	SARS-CoV-2
7czt	A	 Spike glycoprotein	SARS-CoV-2
7czs	C	 Spike glycoprotein	SARS-CoV-2
7czs	B	 Spike glycoprotein	SARS-CoV-2
7czs	A	 Spike glycoprotein	SARS-CoV-2
7czr	C	 Spike glycoprotein	SARS-CoV-2
7czr	B	 Spike glycoprotein	SARS-CoV-2
7czr	A	 Spike glycoprotein	SARS-CoV-2
7czq	C	 Spike glycoprotein	SARS-CoV-2
7czq	B	 Spike glycoprotein	SARS-CoV-2
7czq	A	 Spike glycoprotein	SARS-CoV-2
7czp	C	 Spike glycoprotein	SARS-CoV-2
7czp	B	 Spike glycoprotein	SARS-CoV-2
7czp	A	 Spike glycoprotein	SARS-CoV-2
7ct5	C	 Spike glycoprotein	SARS-CoV-2
7ct5	B	 Spike glycoprotein	SARS-CoV-2
7ct5	A	 Spike glycoprotein	SARS-CoV-2
7c2l	C	 Spike glycoprotein	SARS-CoV-2
7c2l	B	 Spike glycoprotein	SARS-CoV-2
7c2l	A	 Spike glycoprotein	SARS-CoV-2
7l7k	A	 Spike glycoprotein	SARS-CoV-2
7l7k	C	 Spike glycoprotein	SARS-CoV-2
7l7k	B	 Spike glycoprotein	SARS-CoV-2
7dx2	C	 Spike glycoprotein	SARS-CoV-2
7dx2	B	 Spike glycoprotein	SARS-CoV-2
7dx2	A	 Spike glycoprotein	SARS-CoV-2
7dx1	C	 Spike glycoprotein	SARS-CoV-2
7dx1	B	 Spike glycoprotein	SARS-CoV-2
7dx1	A	 Spike glycoprotein	SARS-CoV-2
7jjj	F	 Spike glycoprotein	SARS-CoV-2
7jjj	E	 Spike glycoprotein	SARS-CoV-2
7jjj	D	 Spike glycoprotein	SARS-CoV-2
7jjj	C	 Spike glycoprotein	SARS-CoV-2
7jjj	B	 Spike glycoprotein	SARS-CoV-2
7jjj	A	 Spike glycoprotein	SARS-CoV-2
7jji	C	 Spike glycoprotein	SARS-CoV-2
7jji	B	 Spike glycoprotein	SARS-CoV-2
7jji	A	 Spike glycoprotein	SARS-CoV-2
7sbr	C	 Spike glycoprotein	SARS-CoV-2
7sbr	B	 Spike glycoprotein	SARS-CoV-2
7sbr	A	 Spike glycoprotein	SARS-CoV-2
7sbq	C	 Spike glycoprotein	SARS-CoV-2
7sbq	B	 Spike glycoprotein	SARS-CoV-2
7sbq	A	 Spike glycoprotein	SARS-CoV-2
7sbp	C	 Spike glycoprotein	SARS-CoV-2
7sbp	B	 Spike glycoprotein	SARS-CoV-2
7sbp	A	 Spike glycoprotein	SARS-CoV-2
7sbt	C	 Spike glycoprotein	SARS-CoV-2
7sbt	B	 Spike glycoprotein	SARS-CoV-2
7sbt	A	 Spike glycoprotein	SARS-CoV-2
7sbs	C	 Spike glycoprotein	SARS-CoV-2
7sbs	B	 Spike glycoprotein	SARS-CoV-2
7sbs	A	 Spike glycoprotein	SARS-CoV-2
7sbo	C	 Spike glycoprotein	SARS-CoV-2
7sbo	B	 Spike glycoprotein	SARS-CoV-2
7sbo	A	 Spike glycoprotein	SARS-CoV-2
7sbl	C	 Spike glycoprotein	SARS-CoV-2
7sbl	B	 Spike glycoprotein	SARS-CoV-2
7sbl	A	 Spike glycoprotein	SARS-CoV-2
7sbk	C	 Spike glycoprotein	SARS-CoV-2
7sbk	A	 Spike glycoprotein	SARS-CoV-2
7sbk	B	 Spike glycoprotein	SARS-CoV-2
7n1t	C	 Spike glycoprotein	SARS-CoV-2
7n1t	B	 Spike glycoprotein	SARS-CoV-2
7n1t	A	 Spike glycoprotein	SARS-CoV-2
7n1q	C	 Spike glycoprotein	SARS-CoV-2
7n1q	B	 Spike glycoprotein	SARS-CoV-2
7n1q	A	 Spike glycoprotein	SARS-CoV-2
7n1y	C	 Spike glycoprotein	SARS-CoV-2
7n1y	B	 Spike glycoprotein	SARS-CoV-2
7n1y	A	 Spike glycoprotein	SARS-CoV-2
7n1x	C	 Spike glycoprotein	SARS-CoV-2
7n1x	B	 Spike glycoprotein	SARS-CoV-2
7n1x	A	 Spike glycoprotein	SARS-CoV-2
7n1w	C	 Spike glycoprotein	SARS-CoV-2
7n1w	B	 Spike glycoprotein	SARS-CoV-2
7n1w	A	 Spike glycoprotein	SARS-CoV-2
7n1v	C	 Spike glycoprotein	SARS-CoV-2
7n1v	B	 Spike glycoprotein	SARS-CoV-2
7n1v	A	 Spike glycoprotein	SARS-CoV-2
7n1u	C	 Spike glycoprotein	SARS-CoV-2
7n1u	B	 Spike glycoprotein	SARS-CoV-2
7n1u	A	 Spike glycoprotein	SARS-CoV-2
7dzw	C	 Spike glycoprotein	SARS-CoV-2
7dzw	B	 Spike glycoprotein	SARS-CoV-2
7dzw	A	 Spike glycoprotein	SARS-CoV-2
7to4	C	 Spike glycoprotein	SARS-CoV-2
7to4	B	 Spike glycoprotein	SARS-CoV-2
7to4	A	 Spike glycoprotein	SARS-CoV-2
7tnw	B	 Spike glycoprotein	SARS-CoV-2
7tnw	A	 Spike glycoprotein	SARS-CoV-2
7tnw	C	 Spike glycoprotein	SARS-CoV-2
6zb5	A	 Spike glycoprotein	SARS-CoV-2
6zb5	B	 Spike glycoprotein	SARS-CoV-2
6zb5	C	 Spike glycoprotein	SARS-CoV-2
6zb4	A	 Spike glycoprotein	SARS-CoV-2
6zb4	B	 Spike glycoprotein	SARS-CoV-2
6zb4	C	 Spike glycoprotein	SARS-CoV-2
7m6i	C	 Spike glycoprotein	SARS-CoV-2
7m6i	B	 Spike glycoprotein	SARS-CoV-2
7m6i	A	 Spike glycoprotein	SARS-CoV-2
7m6h	C	 Spike glycoprotein	SARS-CoV-2
7m6h	B	 Spike glycoprotein	SARS-CoV-2
7m6h	A	 Spike glycoprotein	SARS-CoV-2
7k8y	E	 Spike glycoprotein	SARS-CoV-2
7k8y	D	 Spike glycoprotein	SARS-CoV-2
7k8y	B	 Spike glycoprotein	SARS-CoV-2
7k8x	C	 Spike glycoprotein	SARS-CoV-2
7k8x	B	 Spike glycoprotein	SARS-CoV-2
7k8x	A	 Spike glycoprotein	SARS-CoV-2
7k8t	C	 Spike glycoprotein	SARS-CoV-2
7k8t	B	 Spike glycoprotein	SARS-CoV-2
7k8t	A	 Spike glycoprotein	SARS-CoV-2
7k8s	C	 Spike glycoprotein	SARS-CoV-2
7k8s	B	 Spike glycoprotein	SARS-CoV-2
7k8s	A	 Spike glycoprotein	SARS-CoV-2
7k8z	C	 Spike glycoprotein	SARS-CoV-2
7k8z	B	 Spike glycoprotein	SARS-CoV-2
7k8z	A	 Spike glycoprotein	SARS-CoV-2
7k8w	G	 Spike glycoprotein	SARS-CoV-2
7k8w	B	 Spike glycoprotein	SARS-CoV-2
7k8w	A	 Spike glycoprotein	SARS-CoV-2
7k8v	C	 Spike glycoprotein	SARS-CoV-2
7k8v	B	 Spike glycoprotein	SARS-CoV-2
7k8v	A	 Spike glycoprotein	SARS-CoV-2
7k8u	C	 Spike glycoprotein	SARS-CoV-2
7k8u	B	 Spike glycoprotein	SARS-CoV-2
7k8u	A	 Spike glycoprotein	SARS-CoV-2
6xcn	E	 Spike glycoprotein	SARS-CoV-2
6xcn	C	 Spike glycoprotein	SARS-CoV-2
6xcn	A	 Spike glycoprotein	SARS-CoV-2
6xcm	C	 Spike glycoprotein	SARS-CoV-2
6xcm	B	 Spike glycoprotein	SARS-CoV-2
6xcm	A	 Spike glycoprotein	SARS-CoV-2
7e7d	C	 Spike glycoprotein,Collagen alpha-1(I) chain	SARS-CoV-2
7e7d	B	 Spike glycoprotein,Collagen alpha-1(I) chain	SARS-CoV-2
7e7d	A	 Spike glycoprotein,Collagen alpha-1(I) chain	SARS-CoV-2
7e7b	C	 Spike glycoprotein,Collagen alpha-1(I) chain	SARS-CoV-2
7e7b	B	 Spike glycoprotein,Collagen alpha-1(I) chain	SARS-CoV-2
7e7b	A	 Spike glycoprotein,Collagen alpha-1(I) chain	SARS-CoV-2
7a5r	B	 Spike glycoprotein	SARS-CoV-2
7a5r	A	 Spike glycoprotein	SARS-CoV-2
7a98	C	 Spike glycoprotein	SARS-CoV-2
7a98	B	 Spike glycoprotein	SARS-CoV-2
7a98	A	 Spike glycoprotein	SARS-CoV-2
7a97	C	 Spike glycoprotein	SARS-CoV-2
7a97	B	 Spike glycoprotein	SARS-CoV-2
7a97	A	 Spike glycoprotein	SARS-CoV-2
7a96	C	 Spike glycoprotein	SARS-CoV-2
7a96	B	 Spike glycoprotein	SARS-CoV-2
7a96	A	 Spike glycoprotein	SARS-CoV-2
7a95	C	 Spike glycoprotein	SARS-CoV-2
7a95	B	 Spike glycoprotein	SARS-CoV-2
7a95	A	 Spike glycoprotein	SARS-CoV-2
7a94	C	 Spike glycoprotein	SARS-CoV-2
7a94	B	 Spike glycoprotein	SARS-CoV-2
7a94	A	 Spike glycoprotein	SARS-CoV-2
7a93	C	 Spike glycoprotein	SARS-CoV-2
7a93	B	 Spike glycoprotein	SARS-CoV-2
7a93	A	 Spike glycoprotein	SARS-CoV-2
7a5s	B	 Spike glycoprotein	SARS-CoV-2
7a5s	A	 Spike glycoprotein	SARS-CoV-2
6zgi	C	 Spike glycoprotein	SARS-CoV-2
6zgi	B	 Spike glycoprotein	SARS-CoV-2
6zgi	A	 Spike glycoprotein	SARS-CoV-2
6zgh	C	 Spike glycoprotein	SARS-CoV-2
6zgh	B	 Spike glycoprotein	SARS-CoV-2
6zgh	A	 Spike glycoprotein	SARS-CoV-2
6zgg	C	 Spike glycoprotein	SARS-CoV-2
6zgg	B	 Spike glycoprotein	SARS-CoV-2
6zgg	A	 Spike glycoprotein	SARS-CoV-2
7kdi	C	 Spike glycoprotein	SARS-CoV-2
7kdi	B	 Spike glycoprotein	SARS-CoV-2
7kdi	A	 Spike glycoprotein	SARS-CoV-2
7kdj	C	 Spike glycoprotein	SARS-CoV-2
7kdj	B	 Spike glycoprotein	SARS-CoV-2
7kdj	A	 Spike glycoprotein	SARS-CoV-2
7ntc	C	 Spike glycoprotein	SARS-CoV-2
7ntc	B	 Spike glycoprotein	SARS-CoV-2
7ntc	A	 Spike glycoprotein	SARS-CoV-2
7nta	A	 Spike glycoprotein	SARS-CoV-2
7nta	C	 Spike glycoprotein	SARS-CoV-2
7nta	B	 Spike glycoprotein	SARS-CoV-2
7nt9	C	 Spike glycoprotein	SARS-CoV-2
7nt9	B	 Spike glycoprotein	SARS-CoV-2
7nt9	A	 Spike glycoprotein	SARS-CoV-2
6zge	C	 Spike glycoprotein	SARS-CoV-2
6zge	B	 Spike glycoprotein	SARS-CoV-2
6zge	A	 Spike glycoprotein	SARS-CoV-2
7k9j	C	 Spike glycoprotein	SARS-CoV-2
7k9j	B	 Spike glycoprotein	SARS-CoV-2
7k9j	A	 Spike glycoprotein	SARS-CoV-2
7k9h	C	 Spike glycoprotein	SARS-CoV-2
7k9h	B	 Spike glycoprotein	SARS-CoV-2
7k9h	A	 Spike glycoprotein	SARS-CoV-2
7bnn	C	 Spike glycoprotein	SARS-CoV-2
7bnn	B	 Spike glycoprotein	SARS-CoV-2
7bnn	A	 Spike glycoprotein	SARS-CoV-2
6xs6	C	 Spike glycoprotein	SARS-CoV-2
6xs6	B	 Spike glycoprotein	SARS-CoV-2
6xs6	A	 Spike glycoprotein	SARS-CoV-2
7f63	A	 Spike glycoprotein	SARS-CoV-2
7f62	A	 Spike glycoprotein	SARS-CoV-2
7ej5	C	 Spike glycoprotein	SARS-CoV-2
7ej5	B	 Spike glycoprotein	SARS-CoV-2
7ej5	A	 Spike glycoprotein	SARS-CoV-2
7ej4	C	 Spike glycoprotein	SARS-CoV-2
7ej4	B	 Spike glycoprotein	SARS-CoV-2
7ej4	A	 Spike glycoprotein	SARS-CoV-2
7kdh	C	 Spike glycoprotein	SARS-CoV-2
7kdh	B	 Spike glycoprotein	SARS-CoV-2
7kdh	A	 Spike glycoprotein	SARS-CoV-2
7kdg	C	 Spike glycoprotein	SARS-CoV-2
7kdg	B	 Spike glycoprotein	SARS-CoV-2
7kdg	A	 Spike glycoprotein	SARS-CoV-2
7v2a	C	 Spike glycoprotein	SARS-CoV-2
7v2a	B	 Spike glycoprotein	SARS-CoV-2
7v2a	A	 Spike glycoprotein	SARS-CoV-2
7m7b	A	 Spike glycoprotein	SARS-CoV-2
7m71	B	 Spike glycoprotein	SARS-CoV-2
7m71	A	 Spike glycoprotein	SARS-CoV-2
7kqe	C	 Spike glycoprotein	SARS-CoV-2
7kqe	B	 Spike glycoprotein	SARS-CoV-2
7kqe	A	 Spike glycoprotein	SARS-CoV-2
7kqb	C	 Spike glycoprotein	SARS-CoV-2
7kqb	B	 Spike glycoprotein	SARS-CoV-2
7kqb	A	 Spike glycoprotein	SARS-CoV-2
7jwb	C	 Spike glycoprotein	SARS-CoV-2
7jwb	B	 Spike glycoprotein	SARS-CoV-2
7jwb	A	 Spike glycoprotein	SARS-CoV-2
7dk7	C	 Spike glycoprotein	SARS-CoV-2
7dk7	B	 Spike glycoprotein	SARS-CoV-2
7dk7	A	 Spike glycoprotein	SARS-CoV-2
7dk6	C	 Spike glycoprotein	SARS-CoV-2
7dk6	B	 Spike glycoprotein	SARS-CoV-2
7dk6	A	 Spike glycoprotein	SARS-CoV-2
7dk5	B	 Spike glycoprotein	SARS-CoV-2
7dk5	C	 Spike glycoprotein	SARS-CoV-2
7dk5	A	 Spike glycoprotein	SARS-CoV-2
7dk4	C	 Spike glycoprotein	SARS-CoV-2
7dk4	B	 Spike glycoprotein	SARS-CoV-2
7dk4	A	 Spike glycoprotein	SARS-CoV-2
7dk3	C	 Spike glycoprotein	SARS-CoV-2
7dk3	B	 Spike glycoprotein	SARS-CoV-2
7dk3	A	 Spike glycoprotein	SARS-CoV-2
7df4	D	 Spike glycoprotein	SARS-CoV-2
7df4	B	 Spike glycoprotein	SARS-CoV-2
7df4	C	 Spike glycoprotein	SARS-CoV-2
7df3	C	 Spike glycoprotein	SARS-CoV-2
7df3	B	 Spike glycoprotein	SARS-CoV-2
7df3	A	 Spike glycoprotein	SARS-CoV-2
7ddn	B	 Spike glycoprotein	SARS-CoV-2
7ddn	C	 Spike glycoprotein	SARS-CoV-2
7ddn	A	 Spike glycoprotein	SARS-CoV-2
7ddd	C	 Spike glycoprotein	SARS-CoV-2
7ddd	B	 Spike glycoprotein	SARS-CoV-2
7ddd	A	 Spike glycoprotein	SARS-CoV-2
7dd8	E	 Spike glycoprotein	SARS-CoV-2
7dd8	D	 Spike glycoprotein	SARS-CoV-2
7dd8	C	 Spike glycoprotein	SARS-CoV-2
7dd2	K	 Spike glycoprotein	SARS-CoV-2
7dd2	D	 Spike glycoprotein	SARS-CoV-2
7dd2	C	 Spike glycoprotein	SARS-CoV-2
7dcx	C	 Spike glycoprotein	SARS-CoV-2
7dcx	K	 Spike glycoprotein	SARS-CoV-2
7dcx	D	 Spike glycoprotein	SARS-CoV-2
